auROC	Network	Method	Index
0.5468073712563042	BlogCatalog	orig-py	0
0.8127825342765955	BlogCatalog	orig-py	1
0.789418450145129	BlogCatalog	orig-py	2
0.6577458757793381	BlogCatalog	orig-py	3
0.7779181448969484	BlogCatalog	orig-py	4
0.7626006074080743	BlogCatalog	orig-py	5
0.9368739552328362	BlogCatalog	orig-py	6
0.7889935561066747	BlogCatalog	orig-py	7
0.7590609825892473	BlogCatalog	orig-py	8
0.8263410219589542	BlogCatalog	orig-py	9
0.8497770653172129	BlogCatalog	orig-py	10
0.7721443614878887	BlogCatalog	orig-py	11
0.7567567229369387	BlogCatalog	orig-py	12
0.7746475403784093	BlogCatalog	orig-py	13
0.7155595921009897	BlogCatalog	orig-py	14
0.7246043726147768	BlogCatalog	orig-py	15
0.7549942626692315	BlogCatalog	orig-py	16
0.5960181425352594	BlogCatalog	orig-py	17
0.7535349119138497	BlogCatalog	orig-py	18
0.7819467977275003	BlogCatalog	orig-py	19
0.8664229985239335	BlogCatalog	orig-py	20
0.6779392653236052	BlogCatalog	orig-py	21
0.724794594428008	BlogCatalog	orig-py	22
0.8710339852615295	BlogCatalog	orig-py	23
0.7172054744087241	BlogCatalog	orig-py	24
0.683280917424748	BlogCatalog	orig-py	25
0.691655783630664	BlogCatalog	orig-py	26
0.8210573137757603	BlogCatalog	orig-py	27
0.8492452929180485	BlogCatalog	orig-py	28
0.7134223024408612	BlogCatalog	orig-py	29
0.7067177453686402	BlogCatalog	orig-py	30
0.7470817522905648	BlogCatalog	orig-py	31
0.9031631506806962	BlogCatalog	orig-py	32
0.6850074731576379	BlogCatalog	orig-py	33
0.6479126856955773	BlogCatalog	orig-py	34
0.6925282943589244	BlogCatalog	orig-py	35
0.8359857460336148	BlogCatalog	orig-py	36
0.7423206322447715	BlogCatalog	orig-py	37
0.5939300259666036	BlogCatalog	orig-cpp	0
0.8079448904252097	BlogCatalog	orig-cpp	1
0.7742942860334339	BlogCatalog	orig-cpp	2
0.64008971124194	BlogCatalog	orig-cpp	3
0.7721265124574338	BlogCatalog	orig-cpp	4
0.7581450915299297	BlogCatalog	orig-cpp	5
0.9334140582348358	BlogCatalog	orig-cpp	6
0.7959969080775162	BlogCatalog	orig-cpp	7
0.7585355720919504	BlogCatalog	orig-cpp	8
0.8114464538582741	BlogCatalog	orig-cpp	9
0.8598854980245804	BlogCatalog	orig-cpp	10
0.6978267887614079	BlogCatalog	orig-cpp	11
0.7328868258442031	BlogCatalog	orig-cpp	12
0.7600497301789855	BlogCatalog	orig-cpp	13
0.6887838526711104	BlogCatalog	orig-cpp	14
0.7298242819671652	BlogCatalog	orig-cpp	15
0.7349313152085607	BlogCatalog	orig-cpp	16
0.608782528209822	BlogCatalog	orig-cpp	17
0.7493819838350442	BlogCatalog	orig-cpp	18
0.746283662028231	BlogCatalog	orig-cpp	19
0.8721471800825531	BlogCatalog	orig-cpp	20
0.6816106308282059	BlogCatalog	orig-cpp	21
0.7275503266765286	BlogCatalog	orig-cpp	22
0.8581101401677064	BlogCatalog	orig-cpp	23
0.695282983578349	BlogCatalog	orig-cpp	24
0.6827892592462506	BlogCatalog	orig-cpp	25
0.6983465075348101	BlogCatalog	orig-cpp	26
0.8114722992756974	BlogCatalog	orig-cpp	27
0.8379993361953728	BlogCatalog	orig-cpp	28
0.6890103079508431	BlogCatalog	orig-cpp	29
0.6472051948778728	BlogCatalog	orig-cpp	30
0.7458632245492364	BlogCatalog	orig-cpp	31
0.8844761060670082	BlogCatalog	orig-cpp	32
0.6645163799414349	BlogCatalog	orig-cpp	33
0.6992622545701811	BlogCatalog	orig-cpp	34
0.6906740558740037	BlogCatalog	orig-cpp	35
0.8289132178494688	BlogCatalog	orig-cpp	36
0.7341585798987083	BlogCatalog	orig-cpp	37
0.5688703641819102	BlogCatalog	pecanpy-PreComp	0
0.816027081430127	BlogCatalog	pecanpy-PreComp	1
0.7747772881791096	BlogCatalog	pecanpy-PreComp	2
0.6339752243790946	BlogCatalog	pecanpy-PreComp	3
0.7864980738294315	BlogCatalog	pecanpy-PreComp	4
0.7697342517064595	BlogCatalog	pecanpy-PreComp	5
0.9396522541617438	BlogCatalog	pecanpy-PreComp	6
0.7845512832244408	BlogCatalog	pecanpy-PreComp	7
0.7501893052750631	BlogCatalog	pecanpy-PreComp	8
0.8215094537186622	BlogCatalog	pecanpy-PreComp	9
0.851130395790366	BlogCatalog	pecanpy-PreComp	10
0.7381172847414027	BlogCatalog	pecanpy-PreComp	11
0.7485736985637474	BlogCatalog	pecanpy-PreComp	12
0.7948314851949643	BlogCatalog	pecanpy-PreComp	13
0.7179549555944154	BlogCatalog	pecanpy-PreComp	14
0.7168453803083773	BlogCatalog	pecanpy-PreComp	15
0.7442243550887753	BlogCatalog	pecanpy-PreComp	16
0.61814755234005	BlogCatalog	pecanpy-PreComp	17
0.7517454923471126	BlogCatalog	pecanpy-PreComp	18
0.779111366252878	BlogCatalog	pecanpy-PreComp	19
0.8706327373320439	BlogCatalog	pecanpy-PreComp	20
0.6970653760333538	BlogCatalog	pecanpy-PreComp	21
0.7076230276134122	BlogCatalog	pecanpy-PreComp	22
0.8770243680081217	BlogCatalog	pecanpy-PreComp	23
0.7244639485595372	BlogCatalog	pecanpy-PreComp	24
0.6729149309824032	BlogCatalog	pecanpy-PreComp	25
